,RK,Role,Height,PLAYER,TEAM,CONF,ROLE,MIN%,PRPG!,D-PRPG,BPM,OBPM,DBPM,ORTG,USG,EFG,TS,OR,DR,AST,TO,A/TO,BLK,STL,FTR,FC/40,CLOSE 2 %,FAR 2 %,FT %,2P %,3PR,3P/100,3P %,AST.1,REB,PTS,YEAR,Dunk_Percentage,Dunks_made,Dunks_attempted,Close2_made,Close2_attempted,Far2_made,Far2_attempted,FT_made,FT_attempted,2P_made,2P_attempted,3P_made,3P_attempted
0,1,Sr,83,Luka Garza,Iowa,B10,PF/C,78.8,7.0,3.6,12.5,11.1,1.4,124.0,30.4,59.6,62.0,10.4,18.2,12.1,8.9,1.1,5.2,1.2,39.2,2.9,0.688,0.395,0.709,0.581,19.7,5.7,0.44,1.7,8.7,24.1,2021,1.0,12,12,176,256,60,152,141,199,237,408,44,100
1,2,So,73,Max Abmas,Oral Roberts,Sum,Scoring PG,95.8,6.6,2.7,6.5,7.3,-0.7,121.8,28.9,58.1,63.0,1.4,7.9,22.3,12.3,1.6,0.4,2.1,33.2,2.3,0.575,0.458,0.894,0.515,49.2,12.4,0.433,3.8,3.2,24.6,2021,0.0,0,0,65,113,54,118,135,151,119,231,97,224
2,3,Jr,71,Kendric Davis,SMU,Amer,Pure PG,86.8,6.5,3.8,9.7,7.6,2.1,121.6,27.6,53.4,58.3,1.6,11.5,46.2,14.1,3.2,0.2,2.6,35.4,1.8,0.667,0.384,0.833,0.524,28.3,6.4,0.373,7.6,4.2,19.0,2021,0.0,0,0,56,84,33,86,70,84,89,170,25,67
3,4,Fr,76,Cameron Thomas,LSU,SEC,Wing G,84.6,6.0,2.8,5.3,6.5,-1.2,114.6,29.2,47.4,55.3,2.0,8.2,8.3,9.4,0.9,0.7,1.4,44.0,1.6,0.642,0.395,0.882,0.464,41.8,11.7,0.325,1.4,3.4,23.0,2021,1.0,03,03,52,81,83,210,194,220,135,291,68,209
4,5,So,82,Drew Timme,Gonzaga,WCC,PF/C,70.1,5.9,3.6,10.9,8.5,2.4,129.3,26.5,66.3,67.7,10.4,18.5,14.4,12.8,1.3,2.5,1.3,50.8,3.3,0.777,0.419,0.696,0.679,6.1,1.3,0.273,2.3,7.0,19.0,2021,0.9545454545454546,21,22,192,247,39,93,128,184,231,340,06,22
5,6,So,81,Matthew Hurt,Duke,ACC,Stretch 4,80.7,5.8,3.2,8.9,8.1,0.7,129.7,21.0,64.9,66.1,5.1,17.0,8.1,9.8,1.1,2.1,1.3,25.7,3.9,0.75,0.566,0.724,0.635,42.6,9.3,0.444,1.3,6.1,18.3,2021,1.0,08,08,48,64,60,106,55,76,108,170,56,126
6,7,Sr,79,Corey Kispert,Gonzaga,WCC,Wing G,79.2,5.8,3.9,10.4,8.8,1.6,131.2,20.7,64.4,67.4,3.8,13.9,9.0,10.7,1.4,1.4,1.5,24.8,2.1,0.754,0.345,0.878,0.628,52.4,10.9,0.44,1.8,5.0,18.6,2021,1.0,09,09,98,130,20,58,86,98,118,188,91,207
7,8,Sr,73,McKinley Wright IV,Colorado,P12,Pure PG,81.3,5.7,4.1,9.2,6.5,2.6,118.6,26.3,51.8,56.8,3.3,12.8,36.9,15.1,2.7,1.0,1.9,32.9,1.9,0.594,0.506,0.844,0.538,24.8,5.4,0.304,5.7,4.3,15.2,2021,1.0,01,01,60,101,90,178,103,122,150,279,28,92
8,9,Jr,77,Ayo Dosunmu,Illinois,B10,Combo G,78.4,5.5,4.6,8.3,5.9,2.4,110.8,29.4,52.6,56.6,3.9,15.8,29.2,18.0,1.6,0.6,1.8,33.3,2.4,0.653,0.371,0.783,0.513,19.3,4.7,0.386,5.3,6.3,20.1,2021,1.0,10,10,113,173,65,175,112,143,178,347,32,83
9,10,So,73,Scotty Pippen Jr.,Vanderbilt,SEC,Pure PG,70.1,5.5,2.8,6.9,6.6,0.3,108.8,35.1,49.5,57.5,3.6,6.9,36.8,19.6,1.3,0.6,3.2,52.5,3.1,0.559,0.31,0.85,0.47,37.7,9.9,0.358,4.9,2.8,20.8,2021,1.0,08,08,71,127,22,71,142,167,93,198,43,120
10,11,Sr,80,Sam Hauser,Virginia,ACC,Stretch 4,85.2,5.4,4.0,9.1,7.5,1.6,123.6,22.2,61.1,63.5,3.4,21.6,11.6,9.0,1.7,1.4,1.1,16.4,1.8,0.692,0.559,0.896,0.596,51.7,11.6,0.417,1.8,6.8,16.0,2021,1.0,01,01,27,39,57,102,43,48,84,141,63,151
11,12,Fr,85,Evan Mobley,USC,P12,C,83.6,5.4,5.0,12.6,7.4,5.3,119.4,23.4,59.5,62.4,9.7,18.8,14.1,16.6,1.1,8.7,1.4,56.6,2.1,0.785,0.459,0.694,0.615,11.7,2.1,0.3,2.4,8.7,16.4,2021,0.9545454545454546,63,66,113,144,72,157,134,193,185,301,12,01
12,13,Sr,78,Chris Duarte,Oregon,P12,Wing G,79.1,5.4,4.1,10.4,7.5,3.0,120.2,22.5,63.3,65.7,2.8,14.0,14.9,17.5,1.2,2.8,3.3,26.2,1.6,0.7,0.537,0.81,0.631,47.8,9.6,0.424,2.6,4.7,17.1,2021,0.9333333333333333,14,15,63,90,36,67,64,79,99,157,61,144
13,14,So,74,Miles McBride,West Virginia,B12,Scoring PG,84.3,5.3,3.7,8.8,6.3,2.5,117.9,23.0,49.3,54.3,3.7,9.2,28.6,13.2,2.7,1.0,3.2,33.9,2.0,0.597,0.372,0.813,0.437,30.6,6.4,0.414,4.9,3.9,15.8,2021,1.0,08,08,43,72,67,180,100,123,110,252,46,111
